Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.0966E-06,-0.0019103,-0.051005,0,0,0,0.90882,0.0014545,4.2731E-08,1.8099E-07,0.001345,6.2437E-06,0.002155,0,0,0,0,0,0,package://cr5.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/base_link.STL,,DOBOT CR5Model.stp-1/BASE__5_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lk1,8.18394011160891E-07,0.00325758527261798,0.0593251706640469,0,0,0,1.6123089856095,0.00291222507130299,7.43636397503612E-09,-2.16472187885338E-08,0.00281910519004488,-0.00044094180363419,0.00328355836274413,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk1.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk1.STL,,DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/25-COVER_5_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/25-BODY_5_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/25-TRIM_4_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系1,基准轴1,jt1,revolute,0,0,0,0,0,0,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
lk2,-4.07551920223101E-09,-0.213509990415851,0.0712201630235778,0,0,0,5.52439538537763,0.0275814564145088,1.72937368486661E-08,1.17682000397013E-09,0.00860329027107355,2.2954943577973E-10,0.0283210374955827,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk2.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk2.STL,,DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-1.stp-1/25-BODY_5_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/L-ARM_3_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-2.stp-1/25-COVER_5_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-2.stp-1/25-BODY_5_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-2.stp-1/25-TRIM_4_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-1.stp-1/25-COVER_5_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-1.stp-1/25-TRIM_4_25-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系2,基准轴2,jt2,revolute,0,0.0713,0.067,-1.5708,0,0,lk1,0,0,1,100,1,-3.14,3.14,,,,,,,,
lk3,1.69942898221867E-07,0.152312204935856,0.048607146999369,0,0,0,2.85358342287792,0.00929669536538658,-6.11041286567012E-10,7.41734661210139E-10,0.00326083420889769,0.000123628550085934,0.00955520367164206,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk3.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk3.STL,,DOBOT CR5Model.stp-1/U-ARM_ASM_3_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/ADAPTE-JIONT_3_U-ARM_ASM_3_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/U-ARM_ASM_3_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/U-ARM_2_U-ARM_ASM_3_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/14-BODY_6_14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/14-COVER_3_14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/14-TRIM_3_14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系3,基准轴3,jt3,revolute,0,-0.427,0,3.1416,0,0,lk2,0,0,-1,100,1,-2.79,2.79,,,,,,,,
lk4,-3.23872942785408E-07,-0.00207701711240893,0.0479452477759309,0,0,0,0.670578763328306,0.000669393217067053,4.19746350806729E-10,-1.0733696757666E-08,0.000654243978246737,0.000110805321463686,0.000653652683894412,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk4.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk4.STL,,DOBOT CR5Model.stp-1/14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-1.stp-1/14-BODY_6_14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-1.stp-1/14-COVER_3_14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE-1.stp-1/14-TRIM_3_14-JIONT_ASM_4_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系4,基准轴4,jt4,revolute,0,0.357,-0.0202,3.1416,0,0,lk3,0,0,1,100,1,-3.14,3.14,,,,,,,,
lk5,-3.4039705327987E-07,-0.00457777757255001,0.0482029409311968,0,0,0,0.726902811830809,0.000730690017841734,-6.02619294288777E-09,6.85246571687323E-09,0.000711950290163978,-0.000119255565803413,0.000713904252251437,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk5.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk5.STL,,DOBOT CR5Model.stp-1/J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/J6-COVER_3_J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/J6-TRIM_1_J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/14-BODY_6_J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系5,基准轴5,jt5,revolute,0,-0.0665,0.0495,1.5708,0,0,lk4,0,0,1,100,1,-3.14,3.14,,,,,,,,
lk6,5.07771932025395E-11,9.37736984086834E-05,0.0192145633229764,0,0,0,0.15788533522659,7.80450541583694E-05,6.15824786503475E-15,6.2471243304184E-14,7.91678709433622E-05,-1.38218659646758E-07,0.000129505866630553,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk6.STL,1,1,1,1,0,0,0,0,0,0,package://cr5.SLDASM/meshes/lk6.STL,,DOBOT CR5Model.stp-1/J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/FLANGE_2_J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1;DOBOT CR5Model.stp-1/J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1/IO_2_J6_ASM_7_ASM_CR5-MODLE(2)_CR5-MODLE.stp-1,坐标系6,基准轴6,jt6,revolute,0,0.0665,0.0495,-1.5708,0,0,lk5,0,0,1,100,1,-3.14,3.14,,,,,,,,
